external_gene_name	target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	description
Gnai3	ENSMUST00000000001.5	2.55139160159464e-10	1.15291206086468e-09	-2.04502432434001	0.323383226878737	4.89403380979988	0.865791819757406	0.0343056316766839	-0.00389147622741829	0.0441269018931944	0.0441269018931944	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]
Cntn1	ENSMUST00000000109.11	3.33399305789011e-06	9.73802244048585e-06	-7.48721914888224	1.61046909135562	2.80895821719288	11.6963012653889	1.15908441730098	0.786123603357871	0.183770412661179	0.786123603357871	contactin 1 [Source:MGI Symbol;Acc:MGI:105980]
Wnt9a	ENSMUST00000000128.10	0.00227366632085485	0.0045057139947383	1.64002572762334	0.537371337786293	2.71716336815159	0.684812517557372	0.0338223146054157	-0.00731076764191564	0.182753651400257	0.182753651400257	wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]
Sdhd	ENSMUST00000000175.6	2.28500385202847e-09	9.39201131315116e-09	0.369618378508313	0.0618491173083393	6.98804753964773	0.0816282204940442	0.00195602649432781	-0.00121689970971319	0.000912958489537726	0.000912958489537726	succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]
Nalcn	ENSMUST00000000201.7	2.43043749606211e-16	1.82739963531946e-15	-3.75658270897524	0.458193678252845	4.47334308657942	1.54683637671419	0.0794519330404004	0.00479040163077227	0.0780041520527535	0.0780041520527535	sodium leak channel, non-selective [Source:MGI Symbol;Acc:MGI:2444306]
Th	ENSMUST00000000219.10	0.00518212950147333	0.00969078463631471	-2.10406779896696	0.752665432970455	4.97783051808848	9.07606888803207	0.38635229051848	-0.066429562349883	0.0385266499729713	0.0385266499729713	tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]
Gmpr	ENSMUST00000000260.13	0.000553134424338959	0.0012059948345573	-0.32676895583432	0.0946166047540185	6.19023799194305	0.149328715048232	0.00257190086140847	0.000630002859776532	0.00414232555997514	0.00414232555997514	guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]
Hddc2	ENSMUST00000000304.14	7.64787219978349e-10	3.29775959150455e-09	0.47234382199652	0.0767780470596186	6.56013927168171	0.141559973849705	0.00234845334692743	-0.00030288564536914	0.00207269803578933	0.00207269803578933	HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]
Tpd52l1	ENSMUST00000000305.7	0.000238540610175057	0.000548329784750738	2.01965476777413	0.549676745899741	1.69200565997781	6.4906883309162	0.0830309286805424	-0.0364691484654131	0.143577465056654	0.143577465056654	tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386]
Cdh1	ENSMUST00000000312.12	1.20269309313209e-15	8.62902642125697e-15	1.73376589875036	0.216607669136238	5.1078360127745	6.33889659403492	0.00438929320401206	-0.000768339607960805	0.0307998685424634	0.0307998685424634	cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]
Ckmt1	ENSMUST00000000317.13	2.61389633310277e-09	1.06547616554175e-08	0.255679873831232	0.0429412882057167	7.8752722284261	1.82342778644208	0.00120156095605489	-0.000339035849197761	0.000181404718519929	0.000181404718519929	creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441]
Comt	ENSMUST00000000335.12	0.000132706348589464	0.000316255643100782	-1.82254160837744	0.476932690565103	4.38325998086391	1.31047268092453	0.083673563201693	-0.0169369838117199	0.0869250302955579	0.0869250302955579	catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470]
Rtca	ENSMUST00000000348.15	1.87419129792565e-13	1.11143760439099e-12	-0.877088943926632	0.119210563842358	6.12051875008932	0.22035473089436	0.0059511717073812	-0.00330286565241516	0.00470719719132848	0.00470719719132848	RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]
Dazap2	ENSMUST00000000356.10	1.54433839861342e-93	1.9238648489028e-91	-1.90461037610177	0.0928346332421092	6.43383379793514	0.203358338793607	0.0038318403568449	-0.0010807483004634	0.00263186149005279	0.00263186149005279	DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]
Mcts1	ENSMUST00000000365.3	7.67821117681763e-08	2.69077658735952e-07	-3.04328355191374	0.566241656719069	4.30434529765611	1.03196899721372	0.145205151765474	-0.0108200802749941	0.0952670585874931	0.0952670585874931	malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245]
Trappc10	ENSMUST00000000384.8	0.000620421803627817	0.00134240206571291	-2.8479896856973	0.832130930653615	4.77166320407109	2.88534140243471	0.0830773085091524	0.436254105803686	0.0530734543306569	0.436254105803686	trafficking protein particle complex 10 [Source:MGI Symbol;Acc:MGI:1336209]
Plin2	ENSMUST00000000466.13	7.9835790110288e-07	2.5095979096542e-06	-1.20433467885199	0.244001455041724	5.07082213953508	0.409183146085151	0.011776009559551	0.0012073841486004	0.0328765229873078	0.0328765229873078	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]
Serpinb8	ENSMUST00000000514.11	0.000101351690324557	0.000245261381535797	-2.42427481047443	0.623634466098782	1.82575140992118	5.21805722859607	0.139977423455908	0.0814963140792091	0.151712537023827	0.151712537023827	serine (or cysteine) peptidase inhibitor, clade B, member 8 [Source:MGI Symbol;Acc:MGI:894657]
Acvr1b	ENSMUST00000000544.12	0.000108842114083563	0.00026247949760698	-1.39073088511279	0.359363392064622	4.57967725096541	0.579264432698642	0.0284216415633429	-0.0142770422751301	0.0684348941038003	0.0684348941038003	activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]
Clcn4	ENSMUST00000000619.8	8.72368043193106e-71	6.58366388779926e-69	1.04972796795894	0.0590126005110387	6.85041639560126	0.185637211365552	0.00142232876629	-0.000862519291545397	0.00118953649801659	0.00118953649801659	chloride channel, voltage-sensitive 4 [Source:MGI Symbol;Acc:MGI:104571]
Sema4f	ENSMUST00000000641.15	0.000147765933100063	0.000349943592607284	0.431464908457926	0.113699156826288	5.97812327677915	0.288182280515693	0.00360247788996484	-0.000455572914139142	0.00609314580729178	0.00609314580729178	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]
Kat2b	ENSMUST00000000724.15	0.00364593197589212	0.00698170254553863	1.03121980043644	0.354703289355562	4.46470656223905	0.592964069729551	0.0155322141592989	0.0256984813551921	0.078828603450443	0.078828603450443	K(lysine) acetyltransferase 2B [Source:MGI Symbol;Acc:MGI:1343094]
Rab5b	ENSMUST00000000727.4	4.90269605407045e-17	3.89049894552501e-16	-0.758395862262361	0.0904035425139987	6.35325570459913	0.117761695093927	0.00306830342324556	-0.00127381834729961	0.00306129695106472	0.00306129695106472	RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]
Chmp1a	ENSMUST00000000759.9	1.54034380085401e-23	1.8578098839478e-22	-1.16647154130953	0.116659500451459	6.11883705361284	0.228121269140952	0.00548540031350447	0.00165298772455292	0.00472167897068348	0.00472167897068348	charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159]
